name,lat,lng,country_id,place_type_id
Apure,7.901945932,-67.48000161,224,2
Apurimac,-13.64200195,-72.88399758,161,2
Aquitaine,44.84099698,-0.599003689,70,2
Ar Raqqah,35.94699896,39.03699644,201,2
Ar Rifa wa al Mintaqah al Janubiyah,26.12099696,50.54900437,15,2
Ar Riyad,24.65000097,46.77000332,175,2
Arad,46.18999793,21.32600441,169,2
Aragon,41.65100092,-0.8780036772,188,2
Aragua,10.24499696,-67.59399569,224,2
Arakan State,20.13900297,92.8950033,139,2
Arauca,7.079003969,-70.75799956,44,2
Araucania,-38.728998,-72.57599956,40,2
Arbil,36.17999995,44.01600341,97,2
Arequipa,-16.39800007,-71.52299957,161,2
Arges,44.85400201,24.88300235,169,2
Arhangay,47.45799892,101.4579994,134,2
Arhus,56.15480695,10.21277735,55,2
Arizona,34.78149902,-112.1250013,220,2
Arkansas,34.76099693,-92.31000269,220,2
Arkhangel'skaya oblast',62.89031705,43.65265086,170,2
Armenia,40.20803107,44.53267533,10,2
Arsi,7.949996925,39.14000142,65,2
Artibonite,19.44999901,-72.68900356,90,2
Artigas,-30.41000108,-56.47300165,221,2
Artvin,41.18300105,41.81799633,212,2
Aruba,12.52500301,-70.02600262,11,2
Arunachal Pradesh,27.15000298,93.54999639,94,2
Arusha,-3.366000077,36.67400133,203,2
Aryanah,36.86667307,10.19999737,211,2
As Sulaymaniyah,35.55900001,45.45399634,97,2
As Suwayda',32.706,36.5660014,201,2
As Suways,29.96000107,32.56000244,60,2
Ash Shamal,34.34375703,36.00707438,113,2
Ash Shamaliyah,20.46450147,30.87700235,195,2
Ash Shariqah,25.37199906,55.41100231,218,2
Ash Sharqiyah,30.58333201,31.51665941,60,2
Ash Sharqiyah,26.33329793,50.08329943,175,2
Ash Sharqiyah,19.61570707,37.21968932,195,2
Ashanti,6.686999989,-1.621997688,78,2
Ashkhabad,37.95041695,58.39013744,213,2
Asir,18.21999604,42.50799931,175,2
Assaba,16.61699704,-11.40399857,127,2
Assam,26.13330001,91.78329632,94,2
Astrakhanskaya oblast',46.25000098,47.99999735,170,2
Asturias,43.36900196,-5.84700269,188,2
Aswan,24.07799694,32.91800432,60,2
Asyut,27.18399597,31.18500037,60,2
At Ta'min,35.46900007,44.39099733,97,2
At Tafilah,30.83333396,35.60000444,105,2
Atacama,-27.36000005,-70.33200259,40,2
Atakora,10.31300098,1.388997346,21,2
Ataq,14.55000305,46.80000037,229,2
Atlantico,10.98399601,-74.80600159,44,2
Atlantida,15.75500392,-86.87199568,91,2
Atlantique,6.356996945,2.439999289,21,2
Attapeu,14.80799704,106.8390003,111,2
Auckland,-36.90399605,174.7610013,146,2
Aust-Agder,58.46475595,8.766000381,154,2
Australian Capital Territory,-35.35000206,149.0420074,12,2
Auvergne,45.78399899,3.090996283,70,2
Aveiro,40.64100302,-8.65099769,165,2
Ayacucho,-13.17300306,-74.22100163,161,2
Aydin,37.85599793,27.8420044,212,2
Az Zarqa,32.08329906,36.0666993,105,2
Az Zawiyah,32.75399705,12.72999628,116,2
Azarbayjan-e Bakhtari,37.53700203,45.07200031,96,2
Azarbayjan-e Khavari,38.08099795,46.28999744,96,2
Azores,37.74629699,-25.69220968,165,2
Azua,18.45399606,-70.72900169,58,2
Azuay,-2.898000043,-79.01499571,59,2
Babil,32.49700192,44.44599632,97,2
Bac Thai,21.55100404,105.8630043,225,2
Bacau,46.57100403,26.92500335,169,2
Bacs-Kiskun,46.90600203,19.69299941,92,2
Badakhshan,37.12100408,70.57899935,1,2
Baden-Wurttemberg,48.78999907,9.181998333,77,2
Badghis,34.98300005,63.13329941,1,2
Bafata,12.16799998,-14.68999766,88,2
Baghdad,33.33400205,44.39799944,97,2
Baghlan,36.13200307,68.70300328,1,2
Bagmati,27.71201693,85.31295343,142,2
Bahamas,25.06699795,-77.33999659,205,2
Bahia,-12.99300301,-38.48100264,27,2
Bahr al Ghazal,7.695999036,27.9919983,187,2
Baja California,32.65499695,-115.4670027,130,2
Baja California Sur,24.15642295,-110.3095256,130,2
Baja Verapaz,15.10299896,-90.31400069,85,2
Bajah,36.725004,9.191997352,211,2
Bakhtaran,34.30799998,47.05700444,96,2
Bakool,4.183298918,43.8667024,184,2
Baku,40.32399607,49.8159993,14,2
Bale,7.005996054,39.97500333,65,2
Bali,-8.70668995,115.2172713,95,2
Balikesir,39.64799697,27.88299934,212,2
Balkh,36.703998,67.1100033,1,2
Baluchistan,30.209004,67.01799637,156,2
Bamako,12.65295597,-7.986482667,123,2
Bamian,34.82000096,67.81100433,1,2
Bamingui-Bangoran,8.409995989,20.65100434,38,2
Banaadir,2.041173022,45.34414233,184,2
Bandundu,-5.322496498,18.19300084,47,2
Banghazi,32.12199907,20.06800243,116,2
Bangolo,7.016697055,-7.483301635,50,2
Bani Suwayf,29.07600292,31.09699831,60,2
Banjul,13.45947748,-16.59289459,206,2
Banzart,37.29745798,9.861921374,211,2
Baoruco,18.47899799,-71.42200158,58,2
Barahona,18.20799898,-71.09999967,58,2
Baranya,46.07499605,18.22500033,92,2
Barbados,13.09587298,-59.61584662,17,2
Bari,11.25914403,49.16670332,184,2
Barinas,8.630001053,-70.2099986,224,2
Barisal,22.70300397,90.37400439,16,2
Bas-Zaire,-5.81699692,13.47100232,47,2
Basel-Landschaft,47.48300102,7.737003297,200,2
Basel-Stadt,47.54700001,7.576002424,200,2
Basilicata,40.64200204,15.79899632,101,2
Bassar,9.261000009,0.789003409,208,2
Basse-Kotto,4.320000004,21.17999735,38,2
Basse-Normandie,49.44241194,-0.6172886405,70,2
Batdambang,13.08899697,103.2039993,33,2
Batha,13.21399803,18.33800432,39,2
Batna,35.55700196,6.172002324,3,2
Bauchi,10.31000407,9.845001332,149,2
Bay,3.133296,43.4999974,184,2
