name,lat,lng,place_type_id
Morocco,32.41325023,-7.216622629,1
Mozambique,-18.57519329,36.00669801,1
Myanmar,19.35799392,96.13759471,1
Namibia,-23.11838251,16.83078336,1
Nauru,-0.5166989599,166.9167004,1
Nepal,27.87166479,84.0445827,1
Netherlands,52.19856837,5.219568996,1
Netherlands Antilles,12.13878599,-68.97055463,1
New Caledonia,-21.50000095,165.5000014,1
New Zealand,-40.75706607,173.592348,1
Nicaragua,12.39837469,-85.95783019,1
Niger,14.14995812,6.754958087,1
Nigeria,8.53120393,7.373000102,1
Niue,-19.01666694,-169.9166696,1
Norfolk I.,-29.06377198,167.9629503,1
North Korea,39.66689373,126.6576164,1
Northern Mariana Is.,15.14999698,145.7350023,1
Norway,62.42639605,11.76405213,1
Oman,24.89974651,57.44451193,1
Pakistan,30.59551239,70.93577736,1
Palau,7.340615928,134.4916803,1
Panama,8.642097876,-80.32219249,1
Papua New Guinea,-6.000442576,146.868964,1
Paraguay,-24.33338505,-57.46716459,1
Peru,-10.68196535,-75.41015952,1
Philippines,12.11559307,122.5379914,1
Pitcairn Is.,-25.06599905,-130.1030006,1
Poland,51.93049824,19.4722974,1
Portugal,39.44338381,-9.460414003,1
Puerto Rico,18.20766602,-66.6086666,1
Qatar,25.28435693,51.53233541,1
Reunion,-20.86669796,55.44999936,1
Romania,45.75417278,25.1751314,1
Russia,55.21562843,67.87063763,1
Rwanda,-2.05980752,29.68387958,1
Samoa,-13.83702295,-171.7394936,1
San Marino,43.91666103,12.46666544,1
Sao Tome & Principe,0.9909989936,7.070004364,1
Saudi Arabia,24.67395707,41.83832994,1
Senegal,14.35862068,-16.04091206,1
Serbia,44.79967803,20.41255844,1
Seychelles,-4.616999944,55.44500441,1
Sierra Leone,8.30299951,-12.05050016,1
Singapore,1.268855986,103.8317943,1
Slovakia,48.52333197,19.1766664,1
Slovenia,46.06829992,14.63960738,1
Solomon Is.,-9.433845006,159.9517804,1
Somalia,5.473301307,45.37749849,1
South Africa,-29.05559228,27.59037336,1
South Korea,35.88422393,127.3617559,1
South Sudan,7.356686928,30.41470505,1
Spain,39.29001541,-4.263838424,1
Sri Lanka,7.359250505,80.44841735,1
St. Helena,-15.92199907,-5.705000665,1
St. Kitts & Nevis,17.29299597,-62.73199758,1
St. Lucia,14.00835153,-60.99150111,1
St. Pierre & Miquelon,46.78599593,-56.19400166,1
St. Vincent & the Grenadines,13.15536303,-61.22931262,1
Sudan,16.93167299,31.35624208,1
Suriname,5.689750469,-55.4091735,1
Svalbard,78.20000103,15.6600003,1
Swaziland,-26.44287661,31.43900014,1
Sweden,59.14247813,15.768186,1
Switzerland,47.06225411,8.173846411,1
Syria,34.78157033,37.2088056,1
Tajikistan,38.53133318,69.12025014,1
Tanzania,-5.84977538,36.28813069,1
Thailand,14.06796367,100.879013,1
The Bahamas,25.06699795,-77.33999659,1
The Gambia,13.41860917,-15.80033533,1
Timor Leste,-8.57099699,125.5809964,1
Togo,7.70571003,0.9021356092,1
Tonga,-21.13090206,-175.2456506,1
Trinidad & Tobago,10.63973704,-61.49006059,1
Tunisia,35.42572474,9.791547116,1
Turkey,39.30562772,34.85450736,1
Turkmenistan,39.29768279,59.3434282,1
Turks & Caicos Is.,21.46666496,-71.13332659,1
Tuvalu,-8.536499935,179.2218874,1
Uganda,1.049130904,32.29662907,1
Ukraine,49.01083288,30.66120535,1
United Arab Emirates,25.28688474,55.48934091,1
United Kingdom,53.62955881,-2.573648042,1
United States,39.00202021,-96.55517538,1
Uruguay,-33.25681044,-56.31742193,1
Uzbekistan,40.28589484,67.06072908,1
Vanuatu,-17.73999907,168.3209973,1
Venezuela,9.543001119,-67.49745338,1
Vietnam,15.97273274,106.444348,1
Virgin Is.,18.350001,-64.93333469,1
Wallis & Futuna,-13.27329906,-176.1515636,1
West Bank,31.85299794,35.45900144,1
Yemen,14.58692309,44.98154067,1
Zambia,-13.695632,28.14755536,1
Zimbabwe,-19.49267883,30.72934115,1
